model,fold,MAE,RMSE,R2
GradientBoostingRegressor,1,0.009655998399786606,0.026991611554547185,0.9989873727136973
GradientBoostingRegressor,2,0.009365751365366581,0.03099988970814448,0.9982629829566723
GradientBoostingRegressor,3,0.012018339713960605,0.0714544977677185,0.9943320866622353
GradientBoostingRegressor,4,0.008466644811619663,0.02094905152095414,0.9992587745222797
GradientBoostingRegressor,5,0.011868686730145631,0.0804970658521149,0.9872530187892717
LinearRegression,1,0.26528198189774843,0.6272848767355729,0.4530827395127328
LinearRegression,2,0.24484721815983326,0.5193272069298629,0.5125097511700552
LinearRegression,3,0.2677600281482209,0.6958459187636512,0.4624854459504816
LinearRegression,4,0.2508056924743252,0.5408638252141469,0.5059197663915873
LinearRegression,5,0.2660261684020317,0.5224651281127103,0.4630153611193629
RandomForestRegressor,1,0.00952762360819826,0.049008201861657046,0.9966616679504233
RandomForestRegressor,2,0.00674871270435562,0.033688502160378,0.9979486149488782
RandomForestRegressor,3,0.011456252803706832,0.1093139884315483,0.98673474693009
RandomForestRegressor,4,0.007675718481044311,0.03954815066928575,0.9973583579503461
RandomForestRegressor,5,0.010411542391237715,0.10389352732995127,0.9787663708727807
